Order_ID,Feedback_Date,Rating,Feedback_Text,Would_Recommend,Issue_Category,Recommend_Score,Satisfaction_Score,Satisfaction_Level,Feedback_DayOfWeek,Feedback_Month
ORD000002,2025-10-03,1,"Great service, very fast delivery!",Yes,Timing,1,2.2,Low,Friday,10
ORD000003,2025-09-30,3,"Perfect condition, thank you",No,Timing,0,2.0999999999999996,Medium,Tuesday,9
ORD000007,2025-10-12,4,"Delayed by 3 days, not acceptable",Yes,Timing,1,4.3,High,Sunday,10
ORD000009,2025-09-25,5,Wrong item delivered,Yes,Service,1,5.0,High,Thursday,9
ORD000011,2025-09-16,3,"Perfect condition, thank you",No,Timing,0,2.0999999999999996,Medium,Tuesday,9
ORD000013,2025-10-13,4,Wrong item delivered,Yes,Timing,1,4.3,High,Monday,10
ORD000014,2025-10-16,5,Package arrived damaged,Yes,Service,1,5.0,High,Thursday,10
ORD000015,2025-09-27,5,Poor customer service response,Yes,No_Issue,1,5.0,High,Saturday,9
ORD000019,2025-09-30,1,"Delayed by 3 days, not acceptable",No,Timing,0,0.7,Low,Tuesday,9
ORD000020,2025-10-20,5,Driver was very professional,Yes,No_Issue,1,5.0,High,Monday,10
ORD000021,2025-10-03,5,Excellent packaging,No,Quality,0,3.5,High,Friday,10
ORD000022,2025-10-14,5,Poor customer service response,Yes,No_Issue,1,5.0,High,Tuesday,10
ORD000023,2025-09-05,4,Driver was very professional,Yes,No_Issue,1,4.3,High,Friday,9
ORD000025,2025-10-17,5,Late delivery but good quality,No,Quality,0,3.5,High,Friday,10
ORD000026,2025-09-20,3,Late delivery but good quality,Yes,Service,1,3.5999999999999996,Medium,Saturday,9
ORD000030,2025-10-28,5,Wrong item delivered,Yes,Other,1,5.0,High,Tuesday,10
ORD000031,2025-10-07,3,Poor customer service response,Yes,No_Issue,1,3.5999999999999996,Medium,Tuesday,10
ORD000032,2025-10-21,3,"Great service, very fast delivery!",No,Service,0,2.0999999999999996,Medium,Tuesday,10
ORD000034,2025-09-27,3,Driver was very professional,Yes,No_Issue,1,3.5999999999999996,Medium,Saturday,9
ORD000038,2025-09-11,1,Poor customer service response,Yes,Timing,1,2.2,Low,Thursday,9
ORD000040,2025-09-12,5,"Perfect condition, thank you",No,Quality,0,3.5,High,Friday,9
ORD000041,2025-09-24,3,"No complaints, smooth process",Yes,Timing,1,3.5999999999999996,Medium,Wednesday,9
ORD000044,2025-09-23,5,Driver was very professional,No,Other,0,3.5,High,Tuesday,9
ORD000048,2025-10-25,5,Package arrived damaged,Yes,Service,1,5.0,High,Saturday,10
ORD000049,2025-09-16,3,Driver was very professional,Yes,No_Issue,1,3.5999999999999996,Medium,Tuesday,9
ORD000052,2025-09-30,3,"Great service, very fast delivery!",Yes,Timing,1,3.5999999999999996,Medium,Tuesday,9
ORD000053,2025-10-04,5,Wrong item delivered,Yes,Timing,1,5.0,High,Saturday,10
ORD000055,2025-09-22,3,Package arrived damaged,No,Timing,0,2.0999999999999996,Medium,Monday,9
