Order_ID,Order_Date,Customer_Segment,Priority,Product_Category,Order_Value_INR,Origin,Destination,Special_Handling
ORD000001,2025-10-09,Individual,Express,Industrial,238.73,Kolkata,Hyderabad,Express_Care
ORD000002,2025-09-29,SMB,Express,Industrial,17.01,Hyderabad,Kolkata,Express_Care
ORD000003,2025-09-15,SMB,Economy,Industrial,3024.95,Mumbai,Pune,High_Value_Care
ORD000004,2025-10-13,Individual,Economy,Fashion,56.74,Hyderabad,Ahmedabad,Standard
ORD000005,2025-09-08,SMB,Standard,Fashion,19148.65,Chennai,Mumbai,High_Value_Care
ORD000006,2025-09-21,Individual,Express,Food & Beverage,158.22,Chennai,Dubai,Express_Care
ORD000007,2025-10-09,Individual,Standard,Electronics,736.82,Pune,Bangalore,Fragile
ORD000008,2025-09-19,Enterprise,Standard,Industrial,4771.54,Chennai,Kolkata,High_Value_Care
ORD000009,2025-09-23,SMB,Express,Books,3711.35,Delhi,Hong Kong,High_Value_Care
ORD000010,2025-09-11,SMB,Standard,Electronics,7936.32,Hyderabad,Mumbai,Hazmat
ORD000011,2025-09-11,Enterprise,Standard,Books,41.07,Delhi,Bangkok,Standard
ORD000012,2025-09-24,Enterprise,Standard,Electronics,73.42,Mumbai,Hong Kong,Fragile
ORD000013,2025-10-06,SMB,Standard,Food & Beverage,566.23,Hyderabad,Bangalore,Standard
ORD000014,2025-10-10,SMB,Express,Industrial,1421.72,Delhi,Bangalore,High_Value_Care
ORD000015,2025-09-24,Enterprise,Standard,Industrial,396.69,Kolkata,Delhi,Hazmat
ORD000016,2025-09-03,Enterprise,Standard,Healthcare,34.57,Delhi,Mumbai,Fragile
ORD000017,2025-09-22,Individual,Standard,Books,849.69,Hyderabad,Singapore,Standard
ORD000018,2025-09-02,Enterprise,Economy,Electronics,301.46,Mumbai,Chennai,Fragile
ORD000019,2025-09-24,Enterprise,Standard,Electronics,296.08,Ahmedabad,Bangalore,Hazmat
ORD000020,2025-10-14,SMB,Express,Fashion,13.24,Kolkata,Pune,Temperature_Controlled
ORD000021,2025-09-30,Individual,Express,Healthcare,1334.39,Mumbai,Singapore,Fragile
ORD000022,2025-10-08,Enterprise,Standard,Home Goods,501.6,Bangalore,Dubai,Fragile
ORD000023,2025-09-02,SMB,Express,Home Goods,5959.53,Ahmedabad,Dubai,High_Value_Care
ORD000024,2025-09-21,Individual,Standard,Fashion,360.77,Bangalore,Kolkata,Standard
ORD000025,2025-10-03,Enterprise,Economy,Fashion,943.42,Mumbai,Hyderabad,Standard
ORD000026,2025-09-12,Individual,Standard,Fashion,1404.91,Bangalore,Delhi,High_Value_Care
ORD000027,2025-09-22,SMB,Standard,Books,29.39,Bangalore,Bangkok,Standard
ORD000028,2025-10-14,SMB,Standard,Books,20435.93,Kolkata,Dubai,High_Value_Care
ORD000029,2025-09-25,SMB,Standard,Food & Beverage,211.41,Chennai,Singapore,Standard
ORD000030,2025-10-19,SMB,Standard,Food & Beverage,847.13,Delhi,Chennai,Fragile
ORD000031,2025-09-27,Enterprise,Economy,Fashion,1054.55,Mumbai,Bangkok,Temperature_Controlled
ORD000032,2025-10-12,Individual,Standard,Healthcare,118.85,Chennai,Dubai,International
ORD000033,2025-09-28,SMB,Economy,Electronics,6441.2,Delhi,Chennai,High_Value_Care
ORD000034,2025-09-16,Enterprise,Economy,Books,601.2,Mumbai,Dubai,Temperature_Controlled
ORD000035,2025-09-15,Enterprise,Express,Healthcare,292.89,Pune,Delhi,Express_Care
ORD000036,2025-10-17,SMB,Express,Industrial,496.59,Chennai,Hong Kong,Fragile
ORD000037,2025-10-14,SMB,Express,Books,1269.5,Chennai,Dubai,Express_Care
ORD000038,2025-09-03,Enterprise,Express,Books,410.02,Hyderabad,Singapore,Express_Care
ORD000039,2025-10-07,SMB,Express,Food & Beverage,1514.58,Bangalore,Dubai,Hazmat
ORD000040,2025-09-07,Enterprise,Standard,Electronics,32.22,Kolkata,Hyderabad,Fragile
ORD000041,2025-09-21,SMB,Express,Electronics,131.37,Bangalore,Bangkok,Express_Care
ORD000042,2025-09-09,Enterprise,Standard,Home Goods,16.31,Mumbai,Bangkok,Fragile
ORD000043,2025-10-09,SMB,Economy,Home Goods,8066.8,Delhi,Bangalore,High_Value_Care
ORD000044,2025-09-18,SMB,Express,Home Goods,7910.83,Bangalore,Singapore,High_Value_Care
ORD000045,2025-09-04,Individual,Economy,Home Goods,1032.69,Kolkata,Pune,Hazmat
ORD000046,2025-09-25,Enterprise,Standard,Industrial,88.33,Mumbai,Singapore,Heavy_Equipment
ORD000047,2025-09-14,SMB,Express,Industrial,14542.31,Mumbai,Bangkok,Temperature_Controlled
ORD000048,2025-10-20,Enterprise,Standard,Books,162.94,Delhi,Hyderabad,Standard
ORD000049,2025-09-09,Individual,Standard,Fashion,293.0,Delhi,Hong Kong,Standard
ORD000050,2025-09-26,Individual,Economy,Food & Beverage,512.5,Kolkata,Delhi,Standard
ORD000051,2025-09-02,Enterprise,Economy,Food & Beverage,794.15,Delhi,Pune,Standard
ORD000052,2025-09-20,SMB,Economy,Home Goods,1059.66,Chennai,Hyderabad,Temperature_Controlled
ORD000053,2025-09-28,Individual,Standard,Books,1125.45,Bangalore,Hyderabad,Temperature_Controlled
ORD000054,2025-10-17,SMB,Express,Healthcare,324.8,Bangalore,Mumbai,Express_Care
ORD000055,2025-09-07,SMB,Economy,Fashion,1099.0,Hyderabad,Delhi,Fragile
ORD000056,2025-10-14,Enterprise,Economy,Books,303.74,Delhi,Singapore,Standard
ORD000057,2025-09-08,Enterprise,Economy,Fashion,961.94,Kolkata,Bangalore,Standard
ORD000058,2025-10-17,Individual,Standard,Fashion,850.6,Delhi,Hong Kong,Standard
