Order_ID,Route,Distance_KM,Fuel_Consumption_L,Toll_Charges_INR,Traffic_Delay_Minutes,Weather_Impact,Fuel_Efficiency,Cost_Per_KM,Traffic_Level,Route_Complexity,Weather_Severity
ORD000001,Kolkata-Hyderabad,152.59,23.02,122.08,21,Normal,6.62858384013901,0.8000524280752342,Medium,Short,0
ORD000002,Hyderabad-Kolkata,362.05,43.98,289.64,33,Normal,8.232150977717145,0.7999999999999999,High,Medium,0
ORD000003,Mumbai-Pune,519.74,65.75,415.79,2,Normal,7.904790874524715,0.7999961519221149,Low,Long,0
ORD000004,Hyderabad-Ahmedabad,540.87,61.85,432.7,112,Normal,8.744866612772837,0.8000073954924474,Very_High,Long,0
ORD000005,Chennai-Mumbai,1251.56,147.54,1001.25,10,Normal,8.482852107902941,0.8000015980056889,Low,Very_Long,0
ORD000006,Chennai-Dubai,3041.83,365.82,0.0,0,Normal,8.315100322563008,0.0,Low,Very_Long,0
ORD000007,Pune-Bangalore,854.87,103.85,683.9,10,Normal,8.231776600866635,0.8000046790740112,Low,Long,0
ORD000008,Chennai-Kolkata,1430.06,173.95,1144.05,81,Normal,8.221098016671457,0.8000013985427185,Very_High,Very_Long,0
ORD000009,Delhi-Hong Kong,3708.13,446.18,0.0,0,Normal,8.310838674974226,0.0,Low,Very_Long,0
ORD000010,Hyderabad-Mumbai,771.73,88.0,617.39,16,Light_Rain,8.76965909090909,0.8000077747398702,Medium,Long,1
ORD000011,Delhi-Bangkok,4720.83,562.82,0.0,0,Normal,8.387814931949823,0.0,Low,Very_Long,0
ORD000012,Mumbai-Hong Kong,3797.36,454.22,0.0,0,Normal,8.360177887367355,0.0,Low,Very_Long,0
ORD000013,Hyderabad-Bangalore,164.57,22.21,131.65,102,Normal,7.409725348941917,0.7999635413501854,Very_High,Short,0
ORD000014,Delhi-Bangalore,1450.16,171.78,1160.13,45,Normal,8.44196064733962,0.8000013791581619,High,Very_Long,0
ORD000015,Kolkata-Delhi,1748.33,214.29,1398.67,25,Fog,8.15871015913015,0.8000034318463907,Medium,Very_Long,2
ORD000016,Delhi-Mumbai,921.79,114.25,737.43,54,Normal,8.068183807439825,0.7999978303084216,High,Long,0
ORD000017,Hyderabad-Singapore,2857.35,339.91,0.0,0,Light_Rain,8.406195757700567,0.0,Low,Very_Long,1
ORD000018,Mumbai-Chennai,757.12,90.97,605.7,114,Normal,8.322743761679675,0.8000052831783602,Very_High,Long,0
ORD000019,Ahmedabad-Bangalore,1571.48,193.39,1257.18,81,Normal,8.12596307978696,0.7999974546287576,Very_High,Very_Long,0
ORD000020,Kolkata-Pune,1123.6,135.75,898.88,6,Fog,8.276979742173111,0.8,Low,Very_Long,2
ORD000021,Mumbai-Singapore,2601.42,308.26,0.0,0,Heavy_Rain,8.439044962045028,0.0,Low,Very_Long,3
ORD000022,Bangalore-Dubai,3317.45,401.56,0.0,0,Heavy_Rain,8.261405518477936,0.0,Low,Very_Long,3
ORD000023,Ahmedabad-Dubai,2187.37,266.32,0.0,0,Normal,8.213314809252028,0.0,Low,Very_Long,0
ORD000024,Bangalore-Kolkata,967.74,117.39,774.19,30,Light_Rain,8.243802708918988,0.7999979333292,Medium,Long,1
ORD000025,Mumbai-Hyderabad,1396.41,171.86,1117.13,85,Light_Rain,8.125276387757477,0.8000014322441117,Very_High,Very_Long,1
ORD000026,Bangalore-Delhi,1277.31,149.62,1021.84,20,Normal,8.537027135409703,0.7999937368375728,Medium,Very_Long,0
ORD000027,Bangalore-Bangkok,4413.31,527.38,0.0,0,Normal,8.368368159581328,0.0,Low,Very_Long,0
ORD000028,Kolkata-Dubai,4872.34,579.77,0.0,0,Fog,8.403918795384378,0.0,Low,Very_Long,2
ORD000029,Chennai-Singapore,4030.46,486.94,0.0,0,Normal,8.27711833080051,0.0,Low,Very_Long,0
ORD000030,Delhi-Chennai,124.34,17.3,99.47,24,Normal,7.18728323699422,0.799983915071578,Medium,Short,0
ORD000031,Mumbai-Bangkok,2207.09,259.91,0.0,0,Heavy_Rain,8.491747143241891,0.0,Low,Very_Long,3
ORD000032,Chennai-Dubai,4465.78,538.99,0.0,0,Heavy_Rain,8.285459841555502,0.0,Low,Very_Long,3
ORD000033,Delhi-Chennai,1290.06,150.85,1032.05,22,Normal,8.551939012263839,0.8000015503154893,Medium,Very_Long,0
ORD000034,Mumbai-Dubai,2232.95,267.03,0.0,0,Normal,8.362169044676628,0.0,Low,Very_Long,0
ORD000035,Pune-Delhi,212.22,23.95,169.77,2,Normal,8.860960334029228,0.7999717274526436,Low,Medium,0
ORD000036,Chennai-Hong Kong,3731.12,449.71,0.0,0,Normal,8.296724555824865,0.0,Low,Very_Long,0
ORD000037,Chennai-Dubai,2302.82,280.03,0.0,0,Normal,8.223476056136844,0.0,Low,Very_Long,0
ORD000038,Hyderabad-Singapore,2338.79,284.08,0.0,0,Normal,8.232856941706562,0.0,Low,Very_Long,0
ORD000039,Bangalore-Dubai,3434.78,408.63,0.0,0,Light_Rain,8.405599197317867,0.0,Low,Very_Long,1
ORD000040,Kolkata-Hyderabad,1233.65,145.15,986.92,33,Normal,8.499138821908371,0.7999999999999999,High,Very_Long,0
ORD000041,Bangalore-Bangkok,4410.45,533.55,0.0,0,Normal,8.266235591790835,0.0,Low,Very_Long,0
ORD000042,Mumbai-Bangkok,4718.33,564.41,0.0,0,Normal,8.359756205595223,0.0,Low,Very_Long,0
ORD000043,Delhi-Bangalore,484.25,59.51,387.4,52,Normal,8.137287850781382,0.7999999999999999,High,Medium,0
ORD000044,Bangalore-Singapore,2643.88,316.43,0.0,0,Light_Rain,8.355339253547388,0.0,Low,Very_Long,1
ORD000045,Kolkata-Pune,419.33,52.52,335.47,31,Normal,7.984196496572733,0.8000143085398136,High,Medium,0
ORD000046,Mumbai-Singapore,3757.59,452.16,0.0,0,Normal,8.31031050955414,0.0,Low,Very_Long,0
ORD000047,Mumbai-Bangkok,4047.85,483.16,0.0,0,Light_Rain,8.37786654524381,0.0,Low,Very_Long,1
ORD000048,Delhi-Hyderabad,1498.31,182.84,1198.65,21,Normal,8.194651061036971,0.8000013348372501,Medium,Very_Long,0
ORD000049,Delhi-Hong Kong,2359.86,287.35,0.0,0,Light_Rain,8.212493474856446,0.0,Low,Very_Long,1
ORD000050,Kolkata-Delhi,782.46,90.48,625.97,33,Normal,8.64787798408488,0.8000025560412034,High,Long,0
ORD000051,Delhi-Pune,1170.25,135.97,936.2,75,Normal,8.606677943664044,0.8,Very_High,Very_Long,0
ORD000052,Chennai-Hyderabad,274.67,29.85,219.74,92,Normal,9.201675041876047,0.8000145629300616,Very_High,Medium,0
ORD000053,Bangalore-Hyderabad,569.49,70.41,455.59,86,Normal,8.088197699190456,0.7999964880858311,Very_High,Long,0
ORD000054,Bangalore-Mumbai,893.85,105.67,715.08,43,Light_Rain,8.45888142329895,0.8,High,Long,1
ORD000055,Hyderabad-Delhi,637.66,72.54,510.13,64,Normal,8.790460435621725,0.8000031364677102,Very_High,Long,0
ORD000056,Delhi-Singapore,3694.95,447.06,0.0,0,Normal,8.264997986847403,0.0,Low,Very_Long,0
ORD000057,Kolkata-Bangalore,1642.24,201.5,1313.79,82,Heavy_Rain,8.150074441687345,0.7999987821512081,Very_High,Very_Long,3
ORD000058,Delhi-Hong Kong,3131.95,380.48,0.0,0,Normal,8.23157590412111,0.0,Low,Very_Long,0
ORD000059,Delhi-Chennai,1267.93,152.09,1014.35,32,Heavy_Rain,8.336708527845355,0.8000047321224357,High,Very_Long,3
ORD000060,Pune-Singapore,4532.75,545.69,0.0,0,Normal,8.306456046473272,0.0,Low,Very_Long,0
ORD000061,Mumbai-Singapore,2762.69,335.28,0.0,0,Normal,8.23994869959437,0.0,Low,Very_Long,0
ORD000062,Mumbai-Bangalore,573.35,65.1,458.68,67,Light_Rain,8.807219662058372,0.7999999999999999,Very_High,Long,1
ORD000063,Kolkata-Singapore,2894.16,343.35,0.0,0,Light_Rain,8.429183049366534,0.0,Low,Very_Long,1
ORD000064,Mumbai-Bangkok,3932.45,467.38,0.0,0,Normal,8.413817450468569,0.0,Low,Very_Long,0
ORD000065,Hyderabad-Mumbai,1726.56,207.19,1381.25,40,Normal,8.333220715285487,0.800001158372718,High,Very_Long,0
ORD000066,Delhi-Pune,288.66,35.98,230.93,98,Normal,8.022790439132853,0.8000069285664796,Very_High,Medium,0
ORD000067,Pune-Singapore,2157.07,261.52,0.0,0,Normal,8.248202814316306,0.0,Low,Very_Long,0
ORD000068,Kolkata-Bangalore,1497.71,183.23,1198.16,15,Normal,8.173934399388747,0.799994658511995,Medium,Very_Long,0
