Vehicle_ID,Vehicle_Type,Capacity_KG,Fuel_Efficiency_KM_per_L,Current_Location,Status,Age_Years,CO2_Emissions_Kg_per_KM,Efficiency_Score,Age_Category,Capacity_Category
VEH0001,Refrigerated,1531.01,5.81,Hyderabad,Available,7.64166339273196,0.465,12.494623655913976,Middle,Medium
VEH0002,Small_Van,632.66,10.41,Chennai,In_Transit,1.474560292009559,0.259,40.19305019305019,New,Small
VEH0003,Large_Truck,8903.66,6.13,Bangalore,Available,7.496936469272541,0.441,13.900226757369614,Middle,Large
VEH0004,Refrigerated,2545.81,7.14,Bangalore,In_Transit,1.4152287074138648,0.378,18.88888888888889,New,Medium
VEH0005,Small_Van,925.24,9.38,Delhi,In_Transit,1.9643045221736903,0.288,32.56944444444445,New,Small
VEH0006,Medium_Truck,2671.22,8.94,Bangalore,Available,6.235393561072094,0.302,29.602649006622517,Middle,Medium
VEH0007,Large_Truck,7176.62,5.65,Mumbai,Available,1.7227650269869326,0.478,11.82008368200837,New,Large
VEH0008,Refrigerated,2601.67,6.15,Bangalore,In_Transit,1.4328712343099324,0.439,14.009111617312074,New,Medium
VEH0009,Refrigerated,2423.87,7.53,Pune,Available,5.786532575325363,0.359,20.974930362116993,Middle,Medium
VEH0010,Refrigerated,2319.65,7.9,Bangalore,Available,2.816258180055057,0.342,23.099415204678362,Young,Medium
VEH0011,Medium_Truck,2236.98,8.88,Hyderabad,Available,3.474152614924724,0.304,29.210526315789476,Young,Medium
VEH0012,Small_Van,932.65,8.63,Chennai,In_Transit,2.8741224895090247,0.313,27.571884984025562,Young,Small
VEH0013,Refrigerated,2252.27,5.21,Hyderabad,In_Transit,4.788094873578115,0.518,10.057915057915057,Young,Medium
VEH0014,Refrigerated,2859.13,5.04,Ahmedabad,Available,1.9018583045634625,0.536,9.402985074626866,New,Medium
VEH0015,Small_Van,695.34,8.77,Chennai,In_Transit,3.005374742515769,0.308,28.474025974025974,Young,Small
VEH0016,Large_Truck,7022.64,4.21,Bangalore,Available,1.1293965186607209,0.642,6.557632398753894,New,Large
VEH0017,Medium_Truck,3355.08,6.22,Hyderabad,Available,7.583364370207276,0.434,14.331797235023041,Middle,Medium
VEH0018,Large_Truck,8357.4,5.9,Hyderabad,In_Transit,6.389516086370113,0.458,12.882096069868997,Middle,Large
VEH0019,Large_Truck,9951.81,4.98,Pune,Available,7.852765557066388,0.543,9.171270718232044,Middle,Large
VEH0020,Small_Van,759.35,8.72,Hyderabad,Available,7.842181302808281,0.31,28.12903225806452,Middle,Small
VEH0021,Large_Truck,5949.08,5.75,Mumbai,Available,3.4820928391465293,0.47,12.23404255319149,Young,Large
VEH0022,Small_Van,602.67,9.93,Ahmedabad,In_Transit,4.622047013980675,0.272,36.507352941176464,Young,Small
VEH0023,Large_Truck,5719.71,5.79,Bangalore,Available,7.635674156341745,0.467,12.398286937901497,Middle,Large
VEH0024,Small_Van,546.03,10.4,Chennai,Available,4.650342620950306,0.26,40.0,Young,Small
