Warehouse_ID,Location,Product_Category,Current_Stock_Units,Reorder_Level,Storage_Cost_per_Unit,Last_Restocked_Date,Stock_Status,Utilization_Rate,Days_Since_Restock,Inventory_Value,Restock_Urgency
WH001_Mumbai,Mumbai,Electronics,3042,925,18.32,2025-10-06,Above_Reorder,3.288648648648649,23,55729.44,0.0
WH001_Mumbai,Mumbai,Fashion,1800,798,13.07,2025-10-07,Above_Reorder,2.255639097744361,22,23526.0,0.0
WH001_Mumbai,Mumbai,Food & Beverage,4690,823,10.29,2025-10-04,Above_Reorder,5.698663426488457,25,48260.1,0.0
WH001_Mumbai,Mumbai,Healthcare,3418,815,43.83,2025-10-16,Above_Reorder,4.193865030674846,13,149810.94,0.0
WH001_Mumbai,Mumbai,Industrial,745,819,28.17,2025-09-29,Below_Reorder,0.9096459096459096,30,20986.65,0.09035409035409035
WH001_Mumbai,Mumbai,Books,4953,488,20.54,2025-10-10,Above_Reorder,10.149590163934427,19,101734.62,0.0
WH001_Mumbai,Mumbai,Home Goods,598,833,20.94,2025-09-23,Below_Reorder,0.7178871548619448,36,12522.12,0.28211284513805523
WH002_Delhi,Delhi,Electronics,214,873,28.37,2025-09-23,Below_Reorder,0.24513172966781213,36,6071.18,0.7548682703321878
WH002_Delhi,Delhi,Fashion,2353,878,7.6,2025-09-29,Above_Reorder,2.6799544419134396,30,17882.8,0.0
WH002_Delhi,Delhi,Food & Beverage,246,317,14.88,2025-09-23,Below_Reorder,0.7760252365930599,36,3660.48,0.22397476340694006
WH002_Delhi,Delhi,Healthcare,2510,708,23.66,2025-10-20,Above_Reorder,3.5451977401129944,9,59386.6,0.0
WH002_Delhi,Delhi,Industrial,3105,680,29.34,2025-10-11,Above_Reorder,4.5661764705882355,18,91100.7,0.0
WH002_Delhi,Delhi,Books,548,553,23.54,2025-09-29,Below_Reorder,0.9909584086799277,30,12899.92,0.009041591320072333
WH002_Delhi,Delhi,Home Goods,2020,292,28.96,2025-10-08,Above_Reorder,6.917808219178082,21,58499.200000000004,0.0
WH003_Bangalore,Bangalore,Electronics,2707,632,27.31,2025-09-22,Above_Reorder,4.283227848101266,37,73928.17,0.0
WH003_Bangalore,Bangalore,Fashion,3072,494,11.43,2025-09-25,Above_Reorder,6.218623481781377,34,35112.96,0.0
WH003_Bangalore,Bangalore,Food & Beverage,4266,468,22.63,2025-10-04,Above_Reorder,9.115384615384615,25,96539.58,0.0
WH003_Bangalore,Bangalore,Healthcare,916,302,23.87,2025-10-04,Above_Reorder,3.033112582781457,25,21864.920000000002,0.0
WH003_Bangalore,Bangalore,Industrial,3745,728,43.58,2025-09-24,Above_Reorder,5.144230769230769,35,163207.1,0.0
WH003_Bangalore,Bangalore,Books,1888,586,30.23,2025-09-30,Above_Reorder,3.2218430034129693,29,57074.24,0.0
WH003_Bangalore,Bangalore,Home Goods,2563,993,16.4,2025-09-26,Above_Reorder,2.581067472306143,33,42033.2,0.0
WH004_Chennai,Chennai,Electronics,3993,867,36.38,2025-09-27,Above_Reorder,4.6055363321799305,32,145265.34,0.0
WH004_Chennai,Chennai,Fashion,4004,292,41.96,2025-10-05,Above_Reorder,13.712328767123287,24,168007.84,0.0
WH004_Chennai,Chennai,Food & Beverage,2572,698,10.73,2025-09-29,Above_Reorder,3.684813753581662,30,27597.56,0.0
WH004_Chennai,Chennai,Healthcare,3916,398,25.31,2025-10-02,Above_Reorder,9.839195979899497,27,99113.95999999999,0.0
WH004_Chennai,Chennai,Industrial,758,628,26.8,2025-10-10,Above_Reorder,1.2070063694267517,19,20314.4,0.0
WH004_Chennai,Chennai,Books,3864,741,34.15,2025-10-03,Above_Reorder,5.2145748987854255,26,131955.6,0.0
WH004_Chennai,Chennai,Home Goods,2582,583,14.16,2025-10-13,Above_Reorder,4.428816466552315,16,36561.12,0.0
WH005_Kolkata,Kolkata,Electronics,2681,717,22.52,2025-09-26,Above_Reorder,3.739191073919107,33,60376.119999999995,0.0
WH005_Kolkata,Kolkata,Fashion,2439,534,8.0,2025-09-26,Above_Reorder,4.567415730337078,33,19512.0,0.0
WH005_Kolkata,Kolkata,Food & Beverage,3220,884,25.27,2025-10-08,Above_Reorder,3.6425339366515836,21,81369.4,0.0
WH005_Kolkata,Kolkata,Healthcare,2704,534,15.42,2025-09-22,Above_Reorder,5.063670411985019,37,41695.68,0.0
WH005_Kolkata,Kolkata,Industrial,734,945,19.45,2025-10-02,Below_Reorder,0.7767195767195767,27,14276.3,0.22328042328042327
WH005_Kolkata,Kolkata,Books,102,893,37.82,2025-10-13,Below_Reorder,0.11422172452407615,16,3857.64,0.8857782754759238
WH005_Kolkata,Kolkata,Home Goods,2721,843,25.89,2025-10-01,Above_Reorder,3.227758007117438,28,70446.69,0.0
